GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spaceship-domain,default,Main,0,283,0,6,0,45,0,9,0,6
spaceship-domain,Enums,EngineState,0,27,0,0,0,2,0,1,0,1
spaceship-domain,Enums,Direction,0,86,0,10,0,14,0,11,0,2
spaceship-domain,Models,Engine,0,70,0,8,0,23,0,12,0,8
spaceship-domain,Models,Lever,0,29,0,0,0,12,0,6,0,6
spaceship-domain,Models,Pilot,0,29,0,0,0,13,0,7,0,7
spaceship-domain,Models,ControlPanel,0,76,0,10,0,20,0,12,0,7
spaceship-domain,Models,Spaceship,0,304,0,35,0,71,0,36,0,16
spaceship-domain,Models,Rocket,0,66,0,2,0,17,0,6,0,5
